Data,#Samples,# Dimensions,Outlier Perc,ABOD,CBLOF,FB,HBOS,IForest,KNN,LOF,MCD,OCSVM,PCA
arrhythmia,452,274,14.6018,0.3571,0.4643,0.5,0.5714,0.5357,0.5,0.4643,0.4286,0.5,0.5
cardio,1831,21,9.6122,0.1875,0.4844,0.1406,0.4688,0.4531,0.2812,0.125,0.3906,0.5938,0.6875
glass,214,9,4.2056,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.0,0.25,0.25
ionosphere,351,33,35.8974,0.8214,0.8036,0.75,0.3393,0.6607,0.8393,0.75,0.8571,0.7143,0.5893
letter,1600,32,6.25,0.275,0.175,0.4,0.125,0.05,0.3,0.325,0.075,0.1,0.05
lympho,148,18,4.0541,0.4,0.6,0.6,0.8,0.6,0.6,0.6,0.6,0.6,0.8
mnist,7603,100,9.2069,0.3562,0.4007,0.3664,0.1199,0.3116,0.4144,0.339,0.3973,0.3801,0.3767
musk,3062,166,3.1679,0.0333,1.0,0.1667,0.9667,0.9,0.2333,0.1333,0.9667,1.0,1.0
optdigits,5216,64,2.8758,0.0161,0.0,0.0484,0.2581,0.0161,0.0,0.0484,0.0,0.0,0.0
pendigits,6870,16,2.2707,0.0308,0.3077,0.0462,0.2615,0.2615,0.0462,0.0462,0.0615,0.2923,0.3385
pima,768,8,34.8958,0.5106,0.4681,0.4468,0.5213,0.4787,0.5106,0.4787,0.4787,0.4574,0.5
satellite,6435,36,31.6395,0.3918,0.5574,0.4051,0.5466,0.578,0.4994,0.4051,0.6747,0.5224,0.4559
satimage-2,5803,36,1.2235,0.2593,0.8889,0.0741,0.5926,0.8889,0.3704,0.0741,0.5185,0.9259,0.8519
shuttle,49097,9,7.1511,0.1918,0.2336,0.111,0.9857,0.9337,0.2199,0.1406,0.7534,0.9553,0.9503
vertebral,240,6,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vowels,1456,12,3.4341,0.4706,0.4118,0.3529,0.1765,0.1176,0.5294,0.4118,0.0,0.2941,0.1176
wbc,378,30,5.5556,0.3,0.6,0.5,0.7,0.5,0.5,0.4,0.4,0.5,0.6
