Data,#Samples,# Dimensions,Outlier Perc,ABOD,CBLOF,FB,HBOS,IForest,KNN,LOF,MCD,OCSVM,PCA
arrhythmia,452,274,14.6018,0.4757,0.2399,1.1134,0.1329,0.9145,0.1519,0.1329,1.3352,0.077,0.1179
cardio,1831,21,9.6122,0.8046,0.3168,2.9969,0.015,0.8625,0.2958,0.1839,1.2283,0.1849,0.011
glass,214,9,4.2056,0.105,0.1289,0.0919,0.005,0.7296,0.017,0.005,0.0779,0.003,0.004
ionosphere,351,33,35.8974,0.1629,0.098,0.1349,0.018,0.8845,0.049,0.018,0.4068,0.009,0.006
letter,1600,32,6.25,0.7555,0.2309,1.3942,0.021,0.8835,0.2788,0.1619,2.6225,0.1509,0.009
lympho,148,18,4.0541,0.059,0.0969,0.071,0.009,0.6716,0.013,0.004,0.073,0.002,0.004
mnist,7603,100,9.2069,12.8556,1.3362,88.719,0.1079,3.409,11.4364,11.3665,5.179,7.3698,0.2928
musk,3062,166,3.1679,5.24,0.5777,25.0376,0.1159,2.3397,3.1662,2.9503,23.5575,1.852,0.2468
optdigits,5216,64,2.8758,4.7283,0.6716,25.0696,0.06,1.8799,3.2441,2.7554,2.4546,2.3207,0.0989
pendigits,6870,16,2.2707,3.0902,0.4817,8.8529,0.02,1.4142,1.2313,1.0834,4.9422,1.82,0.014
pima,768,8,34.8958,0.3208,0.1499,0.1933,0.006,0.7066,0.07,0.019,0.1209,0.025,0.003
satellite,6435,36,31.6395,3.6999,0.5517,15.0733,0.038,1.81,2.2627,2.1917,6.1025,2.4006,0.042
satimage-2,5803,36,1.2235,3.2482,0.4907,11.5963,0.039,1.5791,1.693,1.4172,5.5608,2.0359,0.039
shuttle,49097,9,7.1511,32.994,1.4761,112.284,0.034,5.6418,19.087,25.2115,25.6652,100.6541,0.067
vertebral,240,6,12.5,0.1199,0.094,0.0679,0.004,0.6766,0.018,0.005,0.0859,0.004,0.004
vowels,1456,12,3.4341,0.6196,0.1799,0.5707,0.008,0.8535,0.1589,0.064,1.737,0.0969,0.005
wbc,378,30,5.5556,0.1859,0.1199,0.1419,0.018,0.7016,0.038,0.015,0.1529,0.009,0.005
